date,rate
2018/1/11,1.77
2018/1/12,1.78
2018/1/13,1.78
2018/1/14,1.78
2018/1/15,1.78
2018/1/16,1.79
2018/1/17,1.79
2018/1/18,1.79
2018/1/19,1.79
2018/1/20,1.79
2018/1/21,1.79
2018/1/22,1.79
2018/1/23,1.78
2018/1/24,1.79
2018/1/25,1.8
2018/1/26,1.8
2018/1/27,1.8
2018/1/28,1.8
2018/1/29,1.8
2018/1/30,1.88
2018/1/31,1.9
2018/2/1,1.89
2018/2/2,1.88
2018/2/3,1.88
2018/2/4,1.88
2018/2/5,1.85
2018/2/6,1.87
2018/2/7,1.91
2018/2/8,1.91
2018/2/9,1.89
2018/2/10,1.89
2018/2/11,1.89
2018/2/12,1.93
2018/2/13,1.95
2018/2/14,1.98
2018/2/15,1.99
2018/2/16,2
2018/2/17,2
2018/2/18,2
2018/2/19,2
2018/2/20,2.01
2018/2/21,2.03
2018/2/22,2.02
2018/2/23,2.02
2018/2/24,2.02
2018/2/25,2.02
2018/2/26,2.03
2018/2/27,2.08
2018/2/28,2.07
2018/3/1,2.05
2018/3/2,2.06
2018/3/3,2.06
2018/3/4,2.06
2018/3/5,2.06
2018/3/6,2.06
2018/3/7,2.05
2018/3/8,2.05
2018/3/9,2.03
2018/3/10,2.03
2018/3/11,2.03
2018/3/12,2.05
2018/3/13,2.03
2018/3/14,2.05
2018/3/15,2.07
2018/3/16,2.08
2018/3/17,2.08
2018/3/18,2.08
2018/3/19,2.08
2018/3/20,2.08
2018/3/21,2.06
2018/3/22,2.05
2018/3/23,2.04
2018/3/24,2.04
2018/3/25,2.04
2018/3/26,2.06
2018/3/27,2.1
2018/3/28,2.12
2018/3/29,2.09
2018/3/30,2.09
2018/3/31,2.09
2018/4/1,2.09
2018/4/2,2.08
2018/4/3,2.09
2018/4/4,2.07
2018/4/5,2.07
2018/4/6,2.06
2018/4/7,2.06
2018/4/8,2.06
2018/4/9,2.08
2018/4/10,2.09
2018/4/11,2.09
2018/4/12,2.11
2018/4/13,2.12
2018/4/14,2.12
2018/4/15,2.12
2018/4/16,2.12
2018/4/17,2.16
2018/4/18,2.17
2018/4/19,2.21
2018/4/20,2.22
2018/4/21,2.22
2018/4/22,2.22
2018/4/23,2.25
2018/4/24,2.25
2018/4/25,2.26
2018/4/26,2.25
2018/4/27,2.24
2018/4/28,2.24
2018/4/29,2.24
2018/4/30,2.24
2018/5/1,2.26
2018/5/2,2.24
2018/5/3,2.24
2018/5/4,2.24
2018/5/5,2.24
2018/5/6,2.24
2018/5/7,2.25
2018/5/8,2.26
2018/5/9,2.27
2018/5/10,2.27
2018/5/11,2.28
2018/5/12,2.28
2018/5/13,2.28
2018/5/14,2.28
2018/5/15,2.31
2018/5/16,2.32
2018/5/17,2.32
2018/5/18,2.32
2018/5/19,2.32
2018/5/20,2.32
2018/5/21,2.35
2018/5/22,2.34
2018/5/23,2.29
2018/5/24,2.28
2018/5/25,2.27
2018/5/26,2.27
2018/5/27,2.27
2018/5/28,2.27
2018/5/29,2.17
2018/5/30,2.23
2018/5/31,2.23
2018/6/1,2.28
2018/6/2,2.28
2018/6/3,2.28
2018/6/4,2.3
2018/6/5,2.32
2018/6/6,2.32
2018/6/7,2.31
2018/6/8,2.3
2018/6/9,2.3
2018/6/10,2.3
2018/6/11,2.32
2018/6/12,2.31
2018/6/13,2.35
2018/6/14,2.35
2018/6/15,2.35
2018/6/16,2.35
2018/6/17,2.35
2018/6/18,2.35
2018/6/19,2.34
2018/6/20,2.36
2018/6/21,2.34
2018/6/22,2.33
2018/6/23,2.33
2018/6/24,2.33
2018/6/25,2.34
2018/6/26,2.33
2018/6/27,2.33
2018/6/28,2.33
2018/6/29,2.33
2018/6/30,2.33
2018/7/1,2.33
2018/7/2,2.34
2018/7/3,2.33
2018/7/4,2.33
2018/7/5,2.32
2018/7/6,2.34
2018/7/7,2.34
2018/7/8,2.34
2018/7/9,2.34
2018/7/10,2.36
2018/7/11,2.36
2018/7/12,2.39
2018/7/13,2.37
2018/7/14,2.37
2018/7/15,2.37
2018/7/16,2.39
2018/7/17,2.39
2018/7/18,2.43
2018/7/19,2.4
2018/7/20,2.41
2018/7/21,2.41
2018/7/22,2.41
2018/7/23,2.42
2018/7/24,2.42
2018/7/25,2.42
2018/7/26,2.41
2018/7/27,2.43
2018/7/28,2.43
2018/7/29,2.43
2018/7/30,2.43
2018/7/31,2.44
2018/8/1,2.45
2018/8/2,2.45
2018/8/3,2.43
2018/8/4,2.43
2018/8/5,2.43
2018/8/6,2.44
2018/8/7,2.45
2018/8/8,2.44
2018/8/9,2.44
2018/8/10,2.42
2018/8/11,2.42
2018/8/12,2.42
2018/8/13,2.42
2018/8/14,2.44
2018/8/15,2.45
2018/8/16,2.45
2018/8/17,2.44
2018/8/18,2.44
2018/8/19,2.44
2018/8/20,2.43
2018/8/21,2.45
2018/8/22,2.43
2018/8/23,2.43
2018/8/24,2.44
2018/8/25,2.44
2018/8/26,2.44
2018/8/27,2.47
2018/8/28,2.47
2018/8/29,2.48
2018/8/30,2.47
2018/8/31,2.46
2018/9/1,2.46
2018/9/2,2.46
2018/9/3,2.46
2018/9/4,2.49
2018/9/5,2.49
2018/9/6,2.5
2018/9/7,2.53
2018/9/8,2.53
2018/9/9,2.53
2018/9/10,2.54
2018/9/11,2.55
2018/9/12,2.56
2018/9/13,2.55
2018/9/14,2.56
2018/9/15,2.56
2018/9/16,2.56
2018/9/17,2.57
2018/9/18,2.58
2018/9/19,2.58
2018/9/20,2.58
2018/9/21,2.58
2018/9/22,2.58
2018/9/23,2.58
2018/9/24,2.6
2018/9/25,2.59
2018/9/26,2.58
2018/9/27,2.58
2018/9/28,2.59
2018/9/29,2.59
2018/9/30,2.59
2018/10/1,2.6
2018/10/2,2.61
2018/10/3,2.62
2018/10/4,2.63
2018/10/5,2.64
2018/10/6,2.64
2018/10/7,2.64
2018/10/8,2.64
2018/10/9,2.65
2018/10/10,2.67
2018/10/11,2.66
2018/10/12,2.66
2018/10/13,2.66
2018/10/14,2.66
2018/10/15,2.67
2018/10/16,2.66
2018/10/17,2.66
2018/10/18,2.67
2018/10/19,2.67
2018/10/20,2.67
2018/10/21,2.67
2018/10/22,2.68
2018/10/23,2.67
2018/10/24,2.64
2018/10/25,2.66
2018/10/26,2.63
2018/10/27,2.63
2018/10/28,2.63
2018/10/29,2.64
2018/10/30,2.66
2018/10/31,2.69
2018/11/1,2.67
2018/11/2,2.7
2018/11/3,2.7
2018/11/4,2.7
2018/11/5,2.71
2018/11/6,2.72
2018/11/7,2.74
2018/11/8,2.74
2018/11/9,2.73
2018/11/10,2.73
2018/11/11,2.73
2018/11/12,2.73
2018/11/13,2.72
2018/11/14,2.71
2018/11/15,2.7
2018/11/16,2.68
2018/11/17,2.68
2018/11/18,2.68
2018/11/19,2.66
2018/11/20,2.67
2018/11/21,2.67
2018/11/22,2.67
2018/11/23,2.67
2018/11/24,2.67
2018/11/25,2.67
2018/11/26,2.7
2018/11/27,2.7
2018/11/28,2.69
2018/11/29,2.69
2018/11/30,2.7
2018/12/1,2.7
2018/12/2,2.7
2018/12/3,2.72
2018/12/4,2.71
2018/12/5,2.71
2018/12/6,2.7
2018/12/7,2.68
2018/12/8,2.68
2018/12/9,2.68
2018/12/10,2.69
2018/12/11,2.7
2018/12/12,2.7
2018/12/13,2.69
2018/12/14,2.68
2018/12/15,2.68
2018/12/16,2.68
2018/12/17,2.66
2018/12/18,2.64
2018/12/19,2.62
2018/12/20,2.64
2018/12/21,2.62
2018/12/22,2.62
2018/12/23,2.62
2018/12/24,2.61
2018/12/25,2.61
2018/12/26,2.61
2018/12/27,2.58
2018/12/28,2.57
2018/12/29,2.57
2018/12/30,2.57
2018/12/31,2.63
2019/1/1,2.63
2019/1/2,2.6
2019/1/3,2.5
2019/1/4,2.57
2019/1/5,2.57
2019/1/6,2.57
2019/1/7,2.58
2019/1/8,2.6
2019/1/9,2.59
2019/1/10,2.59
2019/1/11,2.58
2019/1/12,2.58
2019/1/13,2.58
2019/1/14,2.57
2019/1/15,2.57
2019/1/16,2.57
2019/1/17,2.57
2019/1/18,2.6
2019/1/19,2.6
2019/1/20,2.6
2019/1/21,2.6
2019/1/22,2.59
2019/1/23,2.59
2019/1/24,2.58
2019/1/25,2.6
2019/1/26,2.6
2019/1/27,2.6
2019/1/28,2.6
2019/1/29,2.6
2019/1/30,2.57
2019/1/31,2.55
2019/2/1,2.56
2019/2/2,2.56
2019/2/3,2.56
2019/2/4,2.57
2019/2/5,2.56
2019/2/6,2.56
2019/2/7,2.55
2019/2/8,2.54
2019/2/9,2.54
2019/2/10,2.54
2019/2/11,2.55
2019/2/12,2.55
2019/2/13,2.55
2019/2/14,2.53
2019/2/15,2.55
2019/2/16,2.55
2019/2/17,2.55
2019/2/18,2.55
2019/2/19,2.54
2019/2/20,2.54
2019/2/21,2.55
2019/2/22,2.55
2019/2/23,2.55
2019/2/24,2.55
2019/2/25,2.56
2019/2/26,2.55
2019/2/27,2.54
2019/2/28,2.54
2019/3/1,2.55
2019/3/2,2.55
2019/3/3,2.55
2019/3/4,2.54
2019/3/5,2.54
2019/3/6,2.54
2019/3/7,2.52
2019/3/8,2.53
2019/3/9,2.53
2019/3/10,2.53
2019/3/11,2.53
2019/3/12,2.52
2019/3/13,2.53
2019/3/14,2.52
2019/3/15,2.52
2019/3/16,2.52
2019/3/17,2.52
2019/3/18,2.52
2019/3/19,2.5
2019/3/20,2.47
2019/3/21,2.48
2019/3/22,2.45
2019/3/23,2.45
2019/3/24,2.45
2019/3/25,2.41
2019/3/26,2.44
2019/3/27,2.4
2019/3/28,2.4
2019/3/29,2.4
2019/3/30,2.4
2019/3/31,2.4
2019/4/1,2.41
2019/4/2,2.41
2019/4/3,2.41
2019/4/4,2.41
2019/4/5,2.43
2019/4/6,2.43
2019/4/7,2.43
2019/4/8,2.43
2019/4/9,2.42
2019/4/10,2.41
2019/4/11,2.44
2019/4/12,2.44
2019/4/13,2.44
2019/4/14,2.44
2019/4/15,2.43
2019/4/16,2.45
2019/4/17,2.44
2019/4/18,2.44
2019/4/19,2.44
2019/4/20,2.44
2019/4/21,2.44
2019/4/22,2.46
2019/4/23,2.43
2019/4/24,2.42
2019/4/25,2.42
2019/4/26,2.41
2019/4/27,2.41
2019/4/28,2.41
2019/4/29,2.42
2019/4/30,2.39
2019/5/1,2.39
2019/5/2,2.41
2019/5/3,2.41
2019/5/4,2.41
2019/5/5,2.41
2019/5/6,2.39
2019/5/7,2.37
2019/5/8,2.37
2019/5/9,2.36
2019/5/10,2.36
2019/5/11,2.36
2019/5/12,2.36
2019/5/13,2.32
2019/5/14,2.32
2019/5/15,2.3
2019/5/16,2.33
2019/5/17,2.33
2019/5/18,2.33
2019/5/19,2.33
2019/5/20,2.34
2019/5/21,2.36
2019/5/22,2.37
2019/5/23,2.32
2019/5/24,2.33
2019/5/25,2.33
2019/5/26,2.33
2019/5/27,2.33
2019/5/28,2.31
2019/5/29,2.3
2019/5/30,2.29
2019/5/31,2.21
2019/6/1,2.21
2019/6/2,2.21
2019/6/3,2.11
2019/6/4,2.11
2019/6/5,2.04
2019/6/6,2.02
2019/6/7,1.97
2019/6/8,1.97
2019/6/9,1.97
2019/6/10,2.03
2019/6/11,2.05
2019/6/12,2.02
2019/6/13,2
2019/6/14,2
2019/6/15,2
2019/6/16,2
2019/6/17,2.03
2019/6/18,2.04
2019/6/19,1.96
2019/6/20,1.91
2019/6/21,1.95
2019/6/22,1.95
2019/6/23,1.95
2019/6/24,1.92
2019/6/25,1.93
2019/6/26,1.96
2019/6/27,1.93
2019/6/28,1.92
2019/6/29,1.92
2019/6/30,1.92
2019/7/1,1.94
2019/7/2,1.91
2019/7/3,1.91
2019/7/4,1.91
2019/7/5,1.98
2019/7/6,1.98
2019/7/7,1.98
2019/7/8,1.99
2019/7/9,2
2019/7/10,1.93
2019/7/11,1.97
2019/7/12,1.96
2019/7/13,1.96
2019/7/14,1.96
2019/7/15,1.95
2019/7/16,2
2019/7/17,1.95
2019/7/18,1.9
2019/7/19,1.94
2019/7/20,1.94
2019/7/21,1.94
2019/7/22,1.95
2019/7/23,1.97
2019/7/24,1.98
2019/7/25,1.99
2019/7/26,2
2019/7/27,2
2019/7/28,2
2019/7/29,1.98
2019/7/30,1.97
2019/7/31,2
2019/8/1,1.88
2019/8/2,1.85
2019/8/3,1.85
2019/8/4,1.85
2019/8/5,1.78
2019/8/6,1.8
2019/8/7,1.75
2019/8/8,1.79
2019/8/9,1.78
2019/8/10,1.78
2019/8/11,1.78
2019/8/12,1.75
2019/8/13,1.86
2019/8/14,1.79
2019/8/15,1.72
2019/8/16,1.71
2019/8/17,1.71
2019/8/18,1.71
2019/8/19,1.75
2019/8/20,1.72
2019/8/21,1.77
2019/8/22,1.79
2019/8/23,1.73
2019/8/24,1.73
2019/8/25,1.73
2019/8/26,1.75
2019/8/27,1.77
2019/8/28,1.74
2019/8/29,1.75
2019/8/30,1.76
2019/8/31,1.76
2019/9/1,1.76
2019/9/2,1.76
2019/9/3,1.72
2019/9/4,1.69
2019/9/5,1.73
2019/9/6,1.73
2019/9/7,1.73
2019/9/8,1.73
2019/9/9,1.74
2019/9/10,1.81
2019/9/11,1.79
2019/9/12,1.82
2019/9/13,1.88
2019/9/14,1.88
2019/9/15,1.88
2019/9/16,1.86
2019/9/17,1.87
2019/9/18,1.87
2019/9/19,1.88
2019/9/20,1.84
2019/9/21,1.84
2019/9/22,1.84
2019/9/23,1.81
2019/9/24,1.78
2019/9/25,1.82
2019/9/26,1.79
2019/9/27,1.74
2019/9/28,1.74
2019/9/29,1.74
2019/9/30,1.75
2019/10/1,1.73
2019/10/2,1.67
2019/10/3,1.58
2019/10/4,1.58
2019/10/5,1.58
2019/10/6,1.58
2019/10/7,1.64
2019/10/8,1.62
2019/10/9,1.59
2019/10/10,1.63
2019/10/11,1.67
2019/10/12,1.67
2019/10/13,1.67
2019/10/14,1.67
2019/10/15,1.65
2019/10/16,1.59
2019/10/17,1.59
2019/10/18,1.58
2019/10/19,1.58
2019/10/20,1.58
2019/10/21,1.59
2019/10/22,1.59
2019/10/23,1.58
2019/10/24,1.59
2019/10/25,1.6
2019/10/26,1.6
2019/10/27,1.6
2019/10/28,1.6
2019/10/29,1.59
2019/10/30,1.59
2019/10/31,1.53
2019/11/1,1.53
2019/11/2,1.53
2019/11/3,1.53
2019/11/4,1.56
2019/11/5,1.62
2019/11/6,1.58
2019/11/7,1.58
2019/11/8,1.58
2019/11/9,1.58
2019/11/10,1.58
2019/11/11,1.58
2019/11/12,1.58
2019/11/13,1.57
2019/11/14,1.55
2019/11/15,1.54
2019/11/16,1.54
2019/11/17,1.54
2019/11/18,1.54
2019/11/19,1.54
2019/11/20,1.54
2019/11/21,1.55
2019/11/22,1.56
2019/11/23,1.56
2019/11/24,1.56
2019/11/25,1.58
2019/11/26,1.59
2019/11/27,1.6
2019/11/28,1.6
2019/11/29,1.6
2019/11/30,1.6
2019/12/1,1.6
2019/12/2,1.6
2019/12/3,1.57
2019/12/4,1.56
2019/12/5,1.56
2019/12/6,1.57
2019/12/7,1.57
2019/12/8,1.57
2019/12/9,1.56
2019/12/10,1.56
2019/12/11,1.55
2019/12/12,1.55
2019/12/13,1.54
2019/12/14,1.54
2019/12/15,1.54
2019/12/16,1.54
2019/12/17,1.53
2019/12/18,1.54
2019/12/19,1.52
2019/12/20,1.52
2019/12/21,1.52
2019/12/22,1.52
2019/12/23,1.53
2019/12/24,1.53
2019/12/25,1.53
2019/12/26,1.53
2019/12/27,1.51
2019/12/28,1.51
2019/12/29,1.51
2019/12/30,1.57
2019/12/31,1.59
2020/1/1,1.59
2020/1/2,1.56
2020/1/3,1.55
2020/1/4,1.55
2020/1/5,1.55
2020/1/6,1.54
2020/1/7,1.53
2020/1/8,1.55
2020/1/9,1.54
2020/1/10,1.53
2020/1/11,1.53
2020/1/12,1.53
2020/1/13,1.53
2020/1/14,1.53
2020/1/15,1.54
2020/1/16,1.54
2020/1/17,1.56
2020/1/18,1.56
2020/1/19,1.56
2020/1/20,1.56
2020/1/21,1.54
2020/1/22,1.55
2020/1/23,1.55
2020/1/24,1.55
2020/1/25,1.55
2020/1/26,1.55
2020/1/27,1.53
2020/1/28,1.53
2020/1/29,1.51
2020/1/30,1.48
2020/1/31,1.45
2020/2/1,1.45
2020/2/2,1.45
2020/2/3,1.46
2020/2/4,1.48
2020/2/5,1.49
2020/2/6,1.51
2020/2/7,1.49
2020/2/8,1.49
2020/2/9,1.49
2020/2/10,1.45
2020/2/11,1.48
2020/2/12,1.49
2020/2/13,1.48
2020/2/14,1.49
2020/2/15,1.49
2020/2/16,1.49
2020/2/17,1.49
2020/2/18,1.47
2020/2/19,1.47
2020/2/20,1.46
2020/2/21,1.43
2020/2/22,1.43
2020/2/23,1.43
2020/2/24,1.35
2020/2/25,1.3
2020/2/26,1.26
2020/2/27,1.18
2020/2/28,0.97
2020/2/29,0.97
2020/3/1,0.97
2020/3/2,0.89
2020/3/3,0.73
2020/3/4,0.59
2020/3/5,0.48
2020/3/6,0.39
2020/3/7,0.39
2020/3/8,0.39
2020/3/9,0.31
2020/3/10,0.43
2020/3/11,0.4
2020/3/12,0.39
2020/3/13,0.38
2020/3/14,0.38
2020/3/15,0.38
2020/3/16,0.29
2020/3/17,0.3
2020/3/18,0.21
2020/3/19,0.2
2020/3/20,0.15
2020/3/21,0.15
2020/3/22,0.15
2020/3/23,0.17
2020/3/24,0.25
2020/3/25,0.19
2020/3/26,0.13
2020/3/27,0.11
2020/3/28,0.11
2020/3/29,0.11
2020/3/30,0.14
2020/3/31,0.17
2020/4/1,0.16
2020/4/2,0.14
2020/4/3,0.15
2020/4/4,0.15
2020/4/5,0.15
2020/4/6,0.2
2020/4/7,0.2
2020/4/8,0.23
2020/4/9,0.25
2020/4/10,0.25
2020/4/11,0.25
2020/4/12,0.25
2020/4/13,0.27
2020/4/14,0.25
2020/4/15,0.19
2020/4/16,0.17
2020/4/17,0.16
2020/4/18,0.16
2020/4/19,0.16
2020/4/20,0.15
2020/4/21,0.17
2020/4/22,0.16
2020/4/23,0.17
2020/4/24,0.18
2020/4/25,0.18
2020/4/26,0.18
2020/4/27,0.17
2020/4/28,0.16
2020/4/29,0.18
2020/4/30,0.16
2020/5/1,0.17
2020/5/2,0.17
2020/5/3,0.17
2020/5/4,0.16
2020/5/5,0.16
2020/5/6,0.16
2020/5/7,0.15
2020/5/8,0.15
2020/5/9,0.15
2020/5/10,0.15
2020/5/11,0.16
2020/5/12,0.16
2020/5/13,0.15
2020/5/14,0.15
2020/5/15,0.15
2020/5/16,0.15
2020/5/17,0.15
2020/5/18,0.17
2020/5/19,0.16
2020/5/20,0.16
2020/5/21,0.16
2020/5/22,0.17
2020/5/23,0.17
2020/5/24,0.17
2020/5/25,0.17
2020/5/26,0.17
2020/5/27,0.18
2020/5/28,0.17
2020/5/29,0.17
2020/5/30,0.17
2020/5/31,0.17
2020/6/1,0.17
2020/6/2,0.17
2020/6/3,0.17
2020/6/4,0.17
2020/6/5,0.18
2020/6/6,0.18
2020/6/7,0.18
2020/6/8,0.19
2020/6/9,0.19
2020/6/10,0.18
2020/6/11,0.19
2020/6/12,0.18
2020/6/13,0.18
2020/6/14,0.18
2020/6/15,0.17
2020/6/16,0.18
2020/6/17,0.19
2020/6/18,0.19
2020/6/19,0.18
2020/6/20,0.18
2020/6/21,0.18
2020/6/22,0.17
2020/6/23,0.18
2020/6/24,0.17
2020/6/25,0.17
2020/6/26,0.17
2020/6/27,0.17
2020/6/28,0.17
2020/6/29,0.16
2020/6/30,0.16
2020/7/1,0.16
2020/7/2,0.16
2020/7/3,0.16
2020/7/4,0.16
2020/7/5,0.16
2020/7/6,0.16
2020/7/7,0.15
2020/7/8,0.15
2020/7/9,0.15
2020/7/10,0.15
2020/7/11,0.15
2020/7/12,0.15
2020/7/13,0.16
2020/7/14,0.17
2020/7/15,0.15
2020/7/16,0.14
2020/7/17,0.14
2020/7/18,0.14
2020/7/19,0.14
2020/7/20,0.14
2020/7/21,0.15
2020/7/22,0.14
2020/7/23,0.14
2020/7/24,0.16
2020/7/25,0.16
2020/7/26,0.16
2020/7/27,0.14
2020/7/28,0.14
2020/7/29,0.13
2020/7/30,0.11
2020/7/31,0.11
2020/8/1,0.11
2020/8/2,0.11
2020/8/3,0.12
2020/8/4,0.14
2020/8/5,0.12
2020/8/6,0.14
2020/8/7,0.14
2020/8/8,0.14
2020/8/9,0.14
2020/8/10,0.13
2020/8/11,0.15
2020/8/12,0.13
2020/8/13,0.14
2020/8/14,0.13
2020/8/15,0.13
2020/8/16,0.13
2020/8/17,0.13
2020/8/18,0.13
2020/8/19,0.13
2020/8/20,0.12
2020/8/21,0.13
2020/8/22,0.13
2020/8/23,0.13
2020/8/24,0.14
2020/8/25,0.13
2020/8/26,0.12
2020/8/27,0.13
2020/8/28,0.12
2020/8/29,0.12
2020/8/30,0.12
2020/8/31,0.12
2020/9/1,0.12
2020/9/2,0.13
2020/9/3,0.12
2020/9/4,0.13
2020/9/5,0.13
2020/9/6,0.13
2020/9/7,0.13
2020/9/8,0.15
2020/9/9,0.14
2020/9/10,0.15
2020/9/11,0.13
2020/9/12,0.13
2020/9/13,0.13
2020/9/14,0.14
2020/9/15,0.13
2020/9/16,0.12
2020/9/17,0.12
2020/9/18,0.13
2020/9/19,0.13
2020/9/20,0.13
2020/9/21,0.12
2020/9/22,0.12
2020/9/23,0.13
2020/9/24,0.12
2020/9/25,0.12
2020/9/26,0.12
2020/9/27,0.12
2020/9/28,0.12
2020/9/29,0.12
2020/9/30,0.12
2020/10/1,0.12
2020/10/2,0.12
2020/10/3,0.12
2020/10/4,0.12
2020/10/5,0.12
2020/10/6,0.14
2020/10/7,0.13
2020/10/8,0.13
2020/10/9,0.15
2020/10/10,0.15
2020/10/11,0.15
2020/10/12,0.15
2020/10/13,0.13
2020/10/14,0.13
2020/10/15,0.12
2020/10/16,0.12
2020/10/17,0.12
2020/10/18,0.12
2020/10/19,0.13
2020/10/20,0.13
2020/10/21,0.13
2020/10/22,0.13
2020/10/23,0.12
2020/10/24,0.12
2020/10/25,0.12
2020/10/26,0.12
2020/10/27,0.12
2020/10/28,0.12
2020/10/29,0.12
2020/10/30,0.13
2020/10/31,0.13
2020/11/1,0.13
2020/11/2,0.13
2020/11/3,0.14
2020/11/4,0.12
2020/11/5,0.12
2020/11/6,0.12
2020/11/7,0.12
2020/11/8,0.12
2020/11/9,0.12
2020/11/10,0.12
2020/11/11,0.12
2020/11/12,0.13
2020/11/13,0.12
2020/11/14,0.12
2020/11/15,0.12
2020/11/16,0.12
2020/11/17,0.12
2020/11/18,0.11
2020/11/19,0.11
2020/11/20,0.11
2020/11/21,0.11
2020/11/22,0.11
2020/11/23,0.1
2020/11/24,0.11
2020/11/25,0.11
2020/11/26,0.11
2020/11/27,0.11
2020/11/28,0.11
2020/11/29,0.11
2020/11/30,0.11
2020/12/1,0.12
2020/12/2,0.11
2020/12/3,0.1
2020/12/4,0.11
2020/12/5,0.11
2020/12/6,0.11
2020/12/7,0.1
2020/12/8,0.1
2020/12/9,0.1
2020/12/10,0.1
2020/12/11,0.1
2020/12/12,0.1
2020/12/13,0.1
2020/12/14,0.1
2020/12/15,0.09
2020/12/16,0.09
2020/12/17,0.09
2020/12/18,0.09
2020/12/19,0.09
2020/12/20,0.09
2020/12/21,0.09
2020/12/22,0.09
2020/12/23,0.09
2020/12/24,0.1
2020/12/25,0.1
2020/12/26,0.1
2020/12/27,0.1
2020/12/28,0.11
2020/12/29,0.11
2020/12/30,0.12
2020/12/31,0.1
2021/1/1,0.1
2021/1/2,0.1
2021/1/3,0.1
2021/1/4,0.1
2021/1/5,0.1
